diagonal.n.04 mathematicalconcept
legislative_branch.n.01 governmentalbody
confirmation.n.02 verificationinformation
tetrachlorethylene.n.01 chemicalcompound
acanthurus.n.01 genus
genus_gaillardia.n.01 genus
north_vietnam.n.01 historicalcountry
macintosh.n.02 apparel
cliff_dwelling.n.01 cliffdwelling
telegrapher.n.01 profession
cope.v.01 copingmechanism
los_angeles.n.01 city
subscriber.n.02 consumer
repel.v.01 action
actuator.n.01 automatedmechanism
provoke.v.02 action
alienator.n.01 person
british_west_africa.n.01 formerbritishterritories
acarina.n.01 arachnid
zeitgeist.n.01 culturalconcept
pique.v.01 emotionalreaction
drive_up.v.01 action
capparidaceae.n.01 plantfamily
law.n.06 legalprofession
gandhi.n.01 politicalleader
liliaceous_plant.n.01 liliaceousplant
acculturation.n.03 socioculturalprocess
approach.v.05 socialinteraction
perceptibility.n.01 quality
head.n.26 anatomicalstructure
stringybark.n.01 eucalypttree
chickpea.n.01 leguminousplant
announcer.n.02 mediaprofessional
latin_american.n.01 culturalgroup
norn.n.01 mythologicalfigure
crucial.a.01 importance
giardia.n.01 pathogen
ejaculator.n.02 speaker
draw.v.23 executionmethod
clay.n.01 soilmaterial
front.n.07 meteorologicalphenomenon
rug.n.01 textilefloorcovering
pictorial.a.01 pictorialrepresentation
get.v.22 transaction
shaking.n.02 physicalaction
logjam.n.01 event
roaster.n.01 critic
matter.n.05 abstractconcept
war.n.03 conflict
study_hall.n.01 educationalenvironment
befit.v.01 action
bequeath.v.01 action
tortoiseshell.n.02 colorpattern
doctoral.a.01 academicdegree
tease.v.08 action
raffia.n.03 plant
predetermine.v.01 action
chlorpheniramine_maleate.n.01 pharmaceutical
cerastium.n.01 plantspecies
naucrates.n.01 genus
tack.v.01 action
conflict.n.04 disagreement
long_distance.n.01 telecommunicationsservice
companion.n.03 companionrole
calixtus_ii.n.01 pope
western_blackberry.n.01 fruit
competitiveness.n.01 competitivequality
formal.a.01 formalbehavior
swing.v.02 movement
ziziphus.n.01 plant
cocteau.n.01 person
sycamore.n.04 tree
bargain.n.02 transaction
suffer.v.02 action
sign.n.11 mathematicalsymbol
prowl.v.02 action
sanitation.n.02 process
procrastinator.n.01 person
inhumaneness.n.01 quality
congratulation.n.01 celebratoryevent
